Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP,SNOW (Inches),SNWD (Inches)
10/12/2013,,,,0.04,,
10/13/2013,,,,0.02,,
10/14/2013,,,,0,,
10/15/2013,,,,0.01,,
10/16/2013,,,,0,,
10/17/2013,,,,0,0,
10/18/2013,,,,0,0,
10/19/2013,,,,0.37,,
10/20/2013,,,,0.12,,
10/21/2013,,,,0,0,
10/22/2013,,,,0,0,
10/23/2013,,,,0.15,,
10/24/2013,,,,0.01,,
10/25/2013,,,,0,0,
10/26/2013,,,,0,0,
10/27/2013,,,,0,0,
10/28/2013,,,,0,0,
10/29/2013,,,,0,0,
10/30/2013,,,,0,0,
10/31/2013,,,,0,0,
11/1/2013,,,,0.01,,
11/2/2013,,,,1.41,,
11/3/2013,,,,0.02,,
11/4/2013,,,,0,0,
11/5/2013,,,,0,0,
11/6/2013,,,,0,0,
11/7/2013,,,,0.09,,
11/8/2013,,,,0.47,,
11/9/2013,,,,0,0,
11/10/2013,,,,0,0,
11/11/2013,,,,0,0,
11/12/2013,,,,0,0,
11/13/2013,,,,0.02,,
11/14/2013,,,,0,,
11/15/2013,,,,0,0,
11/16/2013,,,,0.3,,
11/17/2013,,,,0.01,,
11/18/2013,,,,0.02,,
11/19/2013,,,,0,0,
11/20/2013,,,,0,0,
11/21/2013,,,,0,0,
11/22/2013,,,,0,,
11/23/2013,,,,0.1,,
11/24/2013,,,,0,,
11/25/2013,,,,0,0,
11/26/2013,,,,0,0,
11/27/2013,,,,,,
11/28/2013,,,,,,
11/29/2013,,,,,,
11/30/2013,,,,,,
12/1/2013,,,,,,
12/2/2013,,,,,,
12/3/2013,,,,,,
12/4/2013,,,,,,
12/5/2013,,,,0.01,,
12/6/2013,,,,0.01,,
12/7/2013,,,,0,,
12/8/2013,,,,0.41,,
12/9/2013,,,,0.58,,
12/10/2013,,,,0.01,,
12/11/2013,,,,0.15,,
12/12/2013,,,,0,0,
12/13/2013,,,,0,0,
12/14/2013,,,,0,0,
12/15/2013,,,,0.96,,
12/16/2013,,,,0.01,0,
12/17/2013,,,,,,
12/18/2013,,,,,,
12/19/2013,,,,,,
12/20/2013,,,,,,
12/21/2013,,,,,,
12/22/2013,,,,,,
12/23/2013,,,,,,
12/24/2013,,,,,,
12/25/2013,,,,,,
12/26/2013,,,,,,
12/27/2013,,,,,,
12/28/2013,,,,0,0,
12/29/2013,,,,0,,
12/30/2013,,,,0.14,,
12/31/2013,,,,0.01,,
1/1/2014,,,,0,0,
1/2/2014,,,,0.2,,
1/3/2014,,,,0.76,,
1/4/2014,,,,0.01,0,
1/5/2014,,,,0,0,
1/6/2014,,,,0.01,,
1/7/2014,,,,0.03,,
1/8/2014,,,,0,0,
1/9/2014,,,,0,0,
1/10/2014,,,,0,0,
1/11/2014,,,,1.58,,
1/12/2014,,,,0.64,,
1/13/2014,,,,0,0,
1/14/2014,,,,0.3,,
1/15/2014,,,,0.73,,
1/16/2014,,,,0,,
1/17/2014,,,,0,0,
1/18/2014,,,,0.1,,
1/19/2014,,,,0,0,
1/20/2014,,,,0,,
1/21/2014,,,,0,0,
1/22/2014,,,,0.04,1.3,1.3
1/23/2014,,,,0,0,
1/24/2014,,,,0,0,
1/25/2014,,,,0,0,
1/26/2014,,,,0,0,
1/27/2014,,,,0,0,
1/28/2014,,,,0,0,
1/29/2014,,,,1.58,5.1,5.1
1/30/2014,,,,0,0,4.7
1/31/2014,,,,0.15,0,2.8
2/1/2014,,,,0,,1.2
2/2/2014,,,,0.07,,
2/3/2014,,,,0,,
2/4/2014,,,,0.01,,
2/5/2014,,,,0.26,,
2/6/2014,,,,0.11,,
2/7/2014,,,,0.11,1.3,1.3
2/8/2014,,,,0,0,
2/9/2014,,,,0.55,,
2/10/2014,,,,0,0,
2/11/2014,,,,0.01,0,
2/12/2014,,,,0.27,4.2,3.5
2/13/2014,,,,0.55,,
2/14/2014,,,,0.03,0,
2/15/2014,,,,0,0,
2/16/2014,,,,0.37,,
2/17/2014,,,,0,0,
2/18/2014,,,,0,,
2/19/2014,,,,0,0,
2/20/2014,,,,0.25,,
2/21/2014,,,,,,
2/22/2014,,,,0.05,,
2/23/2014,,,,0,0,
2/24/2014,,,,0,0,
2/25/2014,,,,0,0,
2/26/2014,,,,0,0,
2/27/2014,,,,0.19,,
2/28/2014,,,,0,0,
3/1/2014,,,,0,0,
3/2/2014,,,,0,0,
3/3/2014,,,,0,0,
3/4/2014,,,,0.32,0.2,
3/5/2014,,,,0,0,
3/6/2014,,,,0,,
3/7/2014,,,,1.09,,
3/8/2014,,,,0.37,,
3/9/2014,,,,0,0,
3/10/2014,,,,0,0,
3/11/2014,,,,0,0,
3/12/2014,,,,0,0,
3/13/2014,,,,0.01,,
3/14/2014,,,,0,0,
3/15/2014,,,,0,0,
3/16/2014,,,,0,0,
3/17/2014,,,,0.72,,
3/18/2014,,,,0.25,,
3/19/2014,,,,0.26,,
3/20/2014,,,,0.09,,
3/21/2014,,,,0,0,
3/22/2014,,,,0,0,
3/23/2014,,,,0,0,
3/24/2014,,,,0.03,,
3/25/2014,,,,0,0,
3/26/2014,,,,1.03,,
3/27/2014,,,,0,0,
3/28/2014,,,,0,0,
3/29/2014,,,,0.02,,
3/30/2014,,,,0.07,,
3/31/2014,,,,0.03,,
4/1/2014,,,,0,0,
4/2/2014,,,,0,0,
4/3/2014,,,,0,0,
4/4/2014,,,,0,,
4/5/2014,,,,0,0,
4/6/2014,,,,0,0,
4/7/2014,,,,0,,
4/8/2014,,,,0.82,,
4/9/2014,,,,0.08,,
4/10/2014,,,,0,0,
4/11/2014,,,,0,0,
4/12/2014,,,,0,0,
4/13/2014,,,,0,0,
4/14/2014,,,,0,0,
4/15/2014,,,,0.06,,
4/16/2014,,,,1.18,,
4/17/2014,,,,0,0,
4/18/2014,,,,0,0,
4/19/2014,,,,0.02,,
4/20/2014,,,,0.52,,
4/21/2014,,,,0.41,,
4/22/2014,,,,0.01,,
4/23/2014,,,,0,0,
4/24/2014,,,,0,0,
4/25/2014,,,,0,0,
4/26/2014,,,,0.95,,
4/27/2014,,,,0,0,
4/28/2014,,,,0,0,
4/29/2014,,,,1.22,,
4/30/2014,,,,0.04,,
5/1/2014,,,,1.3,,
5/2/2014,,,,0.02,,
5/3/2014,,,,0.03,,
5/4/2014,,,,0,0,
5/5/2014,,,,0,0,
5/6/2014,,,,0.02,,
5/7/2014,,,,0,0,
5/8/2014,,,,0,0,
5/9/2014,,,,0,0,
5/10/2014,,,,0,0,
5/11/2014,,,,0,0,
5/12/2014,,,,0,0,
5/13/2014,,,,0,0,
5/14/2014,,,,0,0,
5/15/2014,,,,0,0,
5/16/2014,,,,0.33,,
5/17/2014,,,,1.5,,
5/18/2014,,,,0,0,
5/19/2014,,,,0,0,
5/20/2014,,,,0,0,
5/21/2014,,,,0,0,
5/22/2014,,,,0,0,
5/23/2014,,,,0,0,
5/24/2014,,,,0,0,
5/25/2014,,,,0,0,
5/26/2014,,,,0,0,
5/27/2014,,,,0,0,
5/28/2014,,,,0,,
5/29/2014,,,,0.21,,
5/30/2014,,,,0,0,
5/31/2014,,,,0,0,
6/1/2014,,,,0,0,
6/2/2014,,,,0,0,
6/3/2014,,,,0,0,
6/4/2014,,,,0,0,
6/5/2014,,,,0.04,,
6/6/2014,,,,1.62,,
6/7/2014,,,,0,0,
6/8/2014,,,,0,0,
6/9/2014,,,,0,0,
6/10/2014,,,,0.28,,
6/11/2014,,,,0,0,
6/12/2014,,,,0,,
6/13/2014,,,,0.66,,
6/14/2014,,,,0.04,,
6/15/2014,,,,0,0,
6/16/2014,,,,0,0,
6/17/2014,,,,0,0,
6/18/2014,,,,0,0,
6/19/2014,,,,0,0,
6/20/2014,,,,0.84,,
6/21/2014,,,,0.01,,
6/22/2014,,,,0.02,,
6/23/2014,,,,0.01,,
6/24/2014,,,,0,0,
6/25/2014,,,,,,
6/26/2014,,,,,,
6/27/2014,,,,0,,
6/28/2014,,,,0.14,,
6/29/2014,,,,0,0,
6/30/2014,,,,0,0,
7/1/2014,,,,0,0,
7/2/2014,,,,0,0,
7/3/2014,,,,0,0,
7/4/2014,,,,1.49,,
7/5/2014,,,,0.01,,
7/6/2014,,,,0,0,
7/7/2014,,,,0,0,
7/8/2014,,,,0,0,
7/9/2014,,,,0,0,
7/10/2014,,,,0,0,
7/11/2014,,,,0.79,,
7/12/2014,,,,0.01,,
7/13/2014,,,,0,0,
7/14/2014,,,,0,0,
7/15/2014,,,,0,0,
7/16/2014,,,,0.38,,
7/17/2014,,,,0.56,,
7/18/2014,,,,0,0,
7/19/2014,,,,0.04,,
7/20/2014,,,,0.97,,
7/21/2014,,,,0,,
7/22/2014,,,,0.18,,
7/23/2014,,,,0.55,,
7/24/2014,,,,0,,
7/25/2014,,,,0.53,,
7/26/2014,,,,0,0,
7/27/2014,,,,0,0,
7/28/2014,,,,0,,
7/29/2014,,,,0,0,
7/30/2014,,,,0,0,
7/31/2014,,,,0,0,
8/1/2014,,,,0,0,
8/2/2014,,,,1.49,,
8/3/2014,,,,0.03,,
8/4/2014,,,,0.72,,
8/5/2014,,,,0.07,,
8/6/2014,,,,0,0,
8/7/2014,,,,0.98,0,
8/8/2014,,,,0.01,0,
8/9/2014,,,,0.08,,
8/10/2014,,,,0,0,
8/11/2014,,,,0,0,
8/12/2014,,,,0,,
8/13/2014,,,,0.6,,
8/14/2014,,,,0,0,
8/15/2014,,,,0,0,
8/16/2014,,,,0,0,
8/17/2014,,,,0,,
8/18/2014,,,,0,0,
8/19/2014,,,,0.38,,
8/20/2014,,,,0,0,
8/21/2014,,,,0,0,
8/22/2014,,,,0.02,,
8/23/2014,,,,0,0,
8/24/2014,,,,0,,
8/25/2014,,,,0,0,
8/26/2014,,,,0,0,
8/27/2014,,,,0,0,
8/28/2014,,,,0,0,
8/29/2014,,,,0.03,,
8/30/2014,,,,0.28,,
8/31/2014,,,,0,0,
9/1/2014,,,,0,0,
9/2/2014,,,,0,0,
9/3/2014,,,,0,0,
9/4/2014,,,,0,,
9/5/2014,,,,0,,
9/6/2014,,,,0,0,
9/7/2014,,,,0.5,,
9/8/2014,,,,2.47,,
9/9/2014,,,,1.7,,
9/10/2014,,,,0.62,,
9/11/2014,,,,0,0,
9/12/2014,,,,0,0,
9/13/2014,,,,0.02,,
9/14/2014,,,,0.85,,
9/15/2014,,,,0,0,
9/16/2014,,,,0,0,
9/17/2014,,,,0,0,
9/18/2014,,,,0,0,
9/19/2014,,,,0,0,
9/20/2014,,,,0,0,
9/21/2014,,,,0.68,,
9/22/2014,,,,,,
9/23/2014,,,,,,
9/24/2014,,,,,,
9/25/2014,,,,,,
9/26/2014,,,,,,
9/27/2014,,,,,,
9/28/2014,,,,,,
9/29/2014,,,,,,
9/30/2014,,,,,,
10/1/2014,,,,,,
10/2/2014,,,,0,0,
10/3/2014,,,,0,0,
10/4/2014,,,,0,,
10/5/2014,,,,0,0,
10/6/2014,,,,0,0,
10/7/2014,,,,0,0,
10/8/2014,,,,0,0,
10/9/2014,,,,0.18,,
10/10/2014,,,,0,0,
10/11/2014,,,,0,0,
10/12/2014,,,,0.8,,
10/13/2014,,,,0,0,
10/14/2014,,,,0,0,
10/15/2014,,,,0,,
10/16/2014,,,,0.38,,
10/17/2014,,,,0,0,
10/18/2014,,,,0,0,
10/19/2014,,,,0.01,0,
10/20/2014,,,,0,0,
10/21/2014,,,,0.01,,
10/22/2014,,,,0.02,,
10/23/2014,,,,0,,
10/24/2014,,,,0,0,
10/25/2014,,,,0,0,
10/26/2014,,,,0,0,
10/27/2014,,,,0,0,
10/28/2014,,,,,,
10/29/2014,,,,0,0,
10/30/2014,,,,0.18,,
10/31/2014,,,,,,
11/1/2014,,,,,,
11/2/2014,,,,,,
11/3/2014,,,,,,
11/4/2014,,,,,,
11/5/2014,,,,,,
11/6/2014,,,,,,
11/7/2014,,,,,,
11/8/2014,,,,,,
11/9/2014,,,,,,
11/10/2014,,,,,,
11/11/2014,,,,,,
11/12/2014,,,,,,
11/13/2014,,,,,,
11/14/2014,,,,,,
11/15/2014,,,,,,
11/16/2014,,,,,,
11/17/2014,,,,,,
11/18/2014,,,,,,
11/19/2014,,,,,,
11/20/2014,,,,,,
11/21/2014,,,,,,
11/22/2014,,,,,,
11/23/2014,,,,,,
11/24/2014,,,,0.68,,
11/25/2014,,,,0.07,,
11/26/2014,,,,0.6,,
11/27/2014,,,,1.83,,
11/28/2014,,,,0,,
11/29/2014,,,,0,0,
11/30/2014,,,,0,0,
12/1/2014,,,,0,0,
12/2/2014,,,,0,0,
12/3/2014,,,,0,,
12/4/2014,,,,0,0,
12/5/2014,,,,0,0,
12/6/2014,,,,0,0,
12/7/2014,,,,0.6,,
12/8/2014,,,,0.03,,
12/9/2014,,,,0.41,,
12/10/2014,,,,0.1,,
12/11/2014,,,,0,0,
12/12/2014,,,,0,0,
12/13/2014,,,,0,0,
12/14/2014,,,,0,0,
12/15/2014,,,,0,0,
12/16/2014,,,,0,0,
12/17/2014,,,,0.25,,
12/18/2014,,,,0,0,
12/19/2014,,,,0,0,
12/20/2014,,,,0,0,
12/21/2014,,,,0,,
12/22/2014,,,,0.04,,
12/23/2014,,,,1.84,,
12/24/2014,,,,0.42,,
12/25/2014,,,,1.02,,
12/26/2014,,,,0,0,
12/27/2014,,,,0,0,
12/28/2014,,,,0,0,
12/29/2014,,,,0.08,,
12/30/2014,,,,0.27,,
12/31/2014,,,,,,
1/1/2015,,,,0,0,
1/2/2015,,,,0,0,
1/3/2015,,,,0.01,,
1/4/2015,,,,0.1,,
1/5/2015,,,,0.66,,
1/6/2015,,,,0,0,
1/7/2015,,,,0,0,
1/8/2015,,,,0,0,
1/9/2015,,,,0,0,0
1/10/2015,,,,0,,
1/11/2015,,,,0,0,
1/12/2015,,,,0,0,
1/13/2015,,,,1.92,,
1/14/2015,,,,0.83,,
1/15/2015,,,,0.01,,
1/16/2015,,,,0,0,
1/17/2015,,,,0,0,
1/18/2015,,,,0,0,
1/19/2015,,,,0.48,,
1/20/2015,,,,0,0,
1/21/2015,,,,0,0,
1/22/2015,,,,0,0,
1/23/2015,,,,0,0,
1/24/2015,,,,2.12,,
1/25/2015,,,,0.38,,
1/26/2015,,,,0,0,
1/27/2015,,,,0.02,0,
1/28/2015,,,,0.03,0,
1/29/2015,,,,0,0,
1/30/2015,,,,0,,
1/31/2015,,,,0.15,,
2/1/2015,,,,0,0,
2/2/2015,,,,0.31,,
2/3/2015,,,,0.32,,
2/4/2015,,,,0,0,
2/5/2015,,,,0.99,,
2/6/2015,,,,0.06,,
2/7/2015,,,,0,0,
2/8/2015,,,,0,0,
2/9/2015,,,,0,0,
2/10/2015,,,,0.15,,
2/11/2015,,,,0.3,,
2/12/2015,,,,0,,
2/13/2015,,,,0.02,0,
2/14/2015,,,,0,0,
2/15/2015,,,,0,0,
2/16/2015,,,,0,0,
2/17/2015,,,,1.18,0,
2/18/2015,,,,0.02,,
2/19/2015,,,,0.08,,0.5
2/20/2015,,,,0,0,
2/21/2015,,,,0,0,
2/22/2015,,,,0.14,,
2/23/2015,,,,0.14,,
2/24/2015,,,,0.13,,
2/25/2015,,,,0.4,3.2,1
2/26/2015,,,,1.24,,0
2/27/2015,,,,0.05,,
2/28/2015,,,,0,0,
3/1/2015,,,,0,0,
3/2/2015,,,,0.17,,
3/3/2015,,,,0.01,,
3/4/2015,,,,0.02,,
3/5/2015,,,,0,,
3/6/2015,,,,0.52,0,
3/7/2015,,,,0,0,
3/8/2015,,,,0,0,
3/9/2015,,,,0,0,
3/10/2015,,,,0,0,
3/11/2015,,,,0,,
3/12/2015,,,,0.22,,
3/13/2015,,,,0,0,
3/14/2015,,,,,,
3/15/2015,,,,,,
3/16/2015,,,,0,,
3/17/2015,,,,0,0,
3/18/2015,,,,0,0,
3/19/2015,,,,0,0,
3/20/2015,,,,0.13,,
3/21/2015,,,,0.21,,
3/22/2015,,,,0,0,
3/23/2015,,,,0,0,
3/24/2015,,,,0,0,
3/25/2015,,,,0,0,
3/26/2015,,,,0.01,,
3/27/2015,,,,0.05,,
3/28/2015,,,,0.56,,
3/29/2015,,,,0,0,
3/30/2015,,,,0,0,
3/31/2015,,,,0.14,,
4/1/2015,,,,0,0,
4/2/2015,,,,0,0,
4/3/2015,,,,0,0,
4/4/2015,,,,0,0,
4/5/2015,,,,0.09,,
4/6/2015,,,,0,0,
4/7/2015,,,,0,0,
4/8/2015,,,,0.02,,
4/9/2015,,,,0.54,,
4/10/2015,,,,0.01,,
4/11/2015,,,,0.3,,
4/12/2015,,,,0.01,,
4/13/2015,,,,0,0,
4/14/2015,,,,0,0,
4/15/2015,,,,1.11,,
4/16/2015,,,,0.02,,
4/17/2015,,,,0,0,
4/18/2015,,,,0,0,
4/19/2015,,,,,,
4/20/2015,,,,0.51,,
4/21/2015,,,,0.03,,
4/22/2015,,,,0,0,
4/23/2015,,,,0,0,
4/24/2015,,,,0,0,
4/25/2015,,,,0,0,
4/26/2015,,,,0.18,,
4/27/2015,,,,0.08,,
4/28/2015,,,,0,0,
4/29/2015,,,,0,0,
4/30/2015,,,,0,0,
5/1/2015,,,,0.35,,
5/2/2015,,,,0.16,,
5/3/2015,,,,0,0,
5/4/2015,,,,0,0,
5/5/2015,,,,0,0,
5/6/2015,,,,0,0,
5/7/2015,,,,0,0,
5/8/2015,,,,0,0,
5/9/2015,,,,0.01,,
5/10/2015,,,,0.02,,
5/11/2015,,,,0.95,,
5/12/2015,,,,2.11,,
5/13/2015,,,,0.02,,
5/14/2015,,,,0,0,
5/15/2015,,,,0,0,
5/16/2015,,,,0,0,
5/17/2015,,,,0,0,
5/18/2015,,,,0,0,
5/19/2015,,,,0,0,
5/20/2015,,,,0.16,,
5/21/2015,,,,0.01,,
5/22/2015,,,,0.43,,
5/23/2015,,,,0,0,
5/24/2015,,,,0,0,
5/25/2015,,,,0,0,
5/26/2015,,,,0,0,
5/27/2015,,,,0,,
5/28/2015,,,,0,0,
5/29/2015,,,,0,0,
5/30/2015,,,,0,0,
5/31/2015,,,,0,0,
6/1/2015,,,,0,0,
6/2/2015,,,,0,0,
6/3/2015,,,,0.21,,
6/4/2015,,,,0.92,,
6/5/2015,,,,0.17,,
6/6/2015,,,,0,,
6/7/2015,,,,0,,
6/8/2015,,,,0,0,
6/9/2015,,,,0,0,
6/10/2015,,,,0,,
6/11/2015,,,,0,0,
6/12/2015,,,,0,0,
6/13/2015,,,,0,0,
6/14/2015,,,,0,0,
6/15/2015,,,,0,0,
6/16/2015,,,,0,0,
6/17/2015,,,,0,0,
6/18/2015,,,,0.21,,
6/19/2015,,,,0,,
6/20/2015,,,,0,0,
6/21/2015,,,,0,0,
6/22/2015,,,,0,0,
6/23/2015,,,,0,0,
6/24/2015,,,,0.04,,
6/25/2015,,,,0,0,
6/26/2015,,,,,,
6/27/2015,,,,,,
6/28/2015,,,,,,
6/29/2015,,,,,,
6/30/2015,,,,,,
7/1/2015,,,,,,
7/2/2015,,,,0,0,
7/3/2015,,,,2.89,,
7/4/2015,,,,2.88,,
7/5/2015,,,,0.53,0,
7/6/2015,,,,0,0,
7/7/2015,,,,0.45,,
7/8/2015,,,,0,0,
7/9/2015,,,,0,0,
7/10/2015,,,,0,0,
7/11/2015,,,,0,,
7/12/2015,,,,0.51,,
7/13/2015,,,,0.01,,
7/14/2015,,,,0.11,,
7/15/2015,,,,0,,
7/16/2015,,,,0.08,,
7/17/2015,,,,0.05,,
7/18/2015,,,,0,0,
7/19/2015,,,,0.01,,
7/20/2015,,,,0,0,
7/21/2015,,,,0.04,,
7/22/2015,,,,0,0,
7/23/2015,,,,0,0,
7/24/2015,,,,0.5,,
7/25/2015,,,,0,0,
7/26/2015,,,,0,0,
7/27/2015,,,,0,0,
7/28/2015,,,,0,0,
7/29/2015,,,,0,0,
7/30/2015,,,,0,0,
7/31/2015,,,,0,0,
8/1/2015,,,,0,0,
8/2/2015,,,,0,0,
8/3/2015,,,,0,0,
8/4/2015,,,,0,0,
8/5/2015,,,,0.55,,
8/6/2015,,,,0,0,
8/7/2015,,,,0.75,,
8/8/2015,,,,0.22,,
8/9/2015,,,,0.63,,
8/10/2015,,,,0,0,
8/11/2015,,,,0,0,
8/12/2015,,,,0.34,,
8/13/2015,,,,0,0,
8/14/2015,,,,0,0,
